img.path,H.mode,H.std,S.mode,S.std,V.mode,V.std
../clean_imgs/playboy_imgs/Playboy - 1962-02 - cover.jpeg,1,0.00593523867428,255,0.00905059836805,255,0.0108974101022
../clean_imgs/playboy_imgs/Playboy - 1962-03 - cover.jpeg,9,0.0046195499599,7,0.00393601041287,255,0.00338376383297
../clean_imgs/playboy_imgs/Playboy - 1962-04 - cover.jpeg,40,0.0033253217116,255,0.00353782507591,255,0.00259600416757
../clean_imgs/playboy_imgs/Playboy - 1962-05 - cover.jpeg,34,0.0100390445441,44,0.00817290972918,64,0.00702892476693
../clean_imgs/playboy_imgs/Playboy - 1962-06 - cover.jpeg,70,0.00536347832531,255,0.00365041056648,255,0.00430166302249
../clean_imgs/playboy_imgs/Playboy - 1962-07 - cover.jpeg,31,0.00999005418271,0,0.00899711437523,2,0.0099670290947
../clean_imgs/playboy_imgs/Playboy - 1962-08 - cover.jpeg,120,0.00736958021298,255,0.00622137403116,255,0.00554749183357
../clean_imgs/playboy_imgs/Playboy - 1962-09 - cover.jpeg,1,0.00371620501392,255,0.0180602353066,254,0.017074951902
../clean_imgs/playboy_imgs/Playboy - 1962-10 - cover.jpeg,56,0.00717278942466,255,0.0063918097876,255,0.00675563234836
../clean_imgs/playboy_imgs/Playboy - 1962-11 - cover.jpeg,16,0.0109091605991,32,0.0103705683723,26,0.00973509997129
../clean_imgs/playboy_imgs/Playboy - 1962-12 - cover.jpeg,179,0.00457038590685,225,0.00813415832818,236,0.00898860301822
../clean_imgs/playboy_imgs/Playboy - 1963-01 - cover.jpeg,10,0.00752718281001,255,0.00643120193854,255,0.00444289250299
../clean_imgs/playboy_imgs/Playboy - 1963-02 - cover.jpeg,64,0.00746047822759,255,0.00788306351751,255,0.00685610529035
../clean_imgs/playboy_imgs/Playboy - 1963-03 - cover.jpeg,46,0.00645105633885,77,0.00555046927184,201,0.00736258365214
../clean_imgs/playboy_imgs/Playboy - 1963-04 - cover.jpeg,30,0.00357267539948,2,0.00868613924831,2,0.00957904849201
../clean_imgs/playboy_imgs/Playboy - 1963-05 - cover.jpeg,83,0.00933799520135,170,0.00543253356591,206,0.00716348225251
../clean_imgs/playboy_imgs/Playboy - 1963-06 - cover.jpeg,178,0.00337066408247,227,0.00837586261332,238,0.00877855252475
../clean_imgs/playboy_imgs/Playboy - 1963-07 - cover.jpeg,66,0.00417510140687,255,0.00319848977961,255,0.00234967353754
../clean_imgs/playboy_imgs/Playboy - 1963-08 - cover.jpeg,27,0.00464157294482,255,0.00466054677963,255,0.00435965927318
../clean_imgs/playboy_imgs/Playboy - 1963-09 - cover.jpeg,45,0.021443400532,37,0.0144242234528,38,0.0123735209927
../clean_imgs/playboy_imgs/Playboy - 1963-10 - cover.jpeg,112,0.00510377902538,117,0.00410475488752,81,0.00332388631068
../clean_imgs/playboy_imgs/Playboy - 1963-11 - cover.jpeg,178,0.00550554087386,192,0.00425509922206,195,0.00448127277195
